IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,17610,10.215.173.2,53,10234,sysDLL,co.sitic.pp,DNS,Closed,ppmxfa.com,56,124,1,1,2026-08-19T23:02:44.110-05:00,2026-08-19T23:02:44.212-05:00
17,10.215.173.1,5720,10.215.173.2,53,10234,sysDLL,co.sitic.pp,DNS,Closed,ppmxfa.com,56,72,1,1,2026-08-19T23:02:44.115-05:00,2026-08-19T23:02:44.213-05:00
17,10.215.173.1,54041,10.215.173.2,53,10234,sysDLL,co.sitic.pp,DNS,Closed,firebaseinstallations.googleapis.com,82,210,1,1,2026-08-19T23:02:44.120-05:00,2026-08-19T23:02:44.171-05:00
17,10.215.173.1,19750,10.215.173.2,53,10234,sysDLL,co.sitic.pp,DNS,Closed,firebaseinstallations.googleapis.com,82,306,1,1,2026-08-19T23:02:44.126-05:00,2026-08-19T23:02:44.180-05:00
6,10.215.173.1,41208,172.217.119.4,443,10234,sysDLL,co.sitic.pp,HTTPS,Closed,firebaseinstallations.googleapis.com,1999,4980,7,7,2026-08-19T23:02:44.194-05:00,2026-08-19T23:03:45.605-05:00
6,10.215.173.1,59502,52.168.125.188,443,10234,sysDLL,co.sitic.pp,HTTPS,Closed,ppmxfa.com,1183,7832,7,8,2026-08-19T23:02:44.223-05:00,2026-08-19T23:02:44.696-05:00
6,10.215.173.1,59514,52.168.125.188,443,10234,sysDLL,co.sitic.pp,HTTPS,Closed,ppmxfa.com,1223,7912,8,10,2026-08-19T23:02:44.615-05:00,2026-08-19T23:02:45.045-05:00
6,10.215.173.1,47992,52.168.125.188,443,10234,sysDLL,co.sitic.pp,HTTPS,Closed,ppmxfa.com,1183,7832,7,8,2026-08-19T23:02:45.386-05:00,2026-08-19T23:02:45.960-05:00
6,10.215.173.1,47996,52.168.125.188,443,10234,sysDLL,co.sitic.pp,HTTPS,Closed,ppmxfa.com,1223,7912,8,10,2026-08-19T23:02:45.912-05:00,2026-08-19T23:02:46.372-05:00
6,10.215.173.1,47998,52.168.125.188,443,10234,sysDLL,co.sitic.pp,HTTPS,Closed,ppmxfa.com,1183,7832,7,8,2026-08-19T23:02:46.340-05:00,2026-08-19T23:02:46.753-05:00
6,10.215.173.1,48010,52.168.125.188,443,10234,sysDLL,co.sitic.pp,HTTPS,Closed,ppmxfa.com,1223,7872,8,9,2026-08-19T23:02:46.661-05:00,2026-08-19T23:02:47.083-05:00
